"id","doi","eid","pii","pubmed_id","titulo","resumo","descricao","data_publicacao","numero_citacao","idioma","tipo_publicacao","tipo_fonte","palavras_chaves","termos_indice","issn","isbn","conf_loc","conferencia_nome","revista_nome","revista_ender","titulo_ed","publis","affiliacoes","autores","autores_affil","ref_count","references"
"85088955671","10.2112/JCOASTRES-D-19-00029.1","2-s2.0-85088955671","","","Multiresolution Satellite-Derived Bathymetry in Shallow Coral Reefs: Improving Linear Algorithms with Geographical Analysis","","","2020-11-01","1","","Journal","j","","","15515036 07490208","","","","Journal of Coastal Research","","","Coastal Education Research Foundation Inc.","({'id': None, 'affiliacao': 'Universidade Federal de Pernambuco', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Estadual de Santa Cruz', 'pais': 'Brazil'})","","","",""
"85089146371","10.1016/j.jenvman.2020.111138","2-s2.0-85089146371","S0301479720310641","32777643","Inferring floodplain bathymetry using inundation frequency","","","2020-11-01","0","","Journal","j","","","10958630 03014797","","","","Journal of Environmental Management","","","Academic Press","({'id': None, 'affiliacao': 'Asian School of the Environment', 'pais': 'Singapore'}, {'id': None, 'affiliacao': 'Guangzhou University', 'pais': 'China'}, {'id': None, 'affiliacao': 'National Institute of Education', 'pais': 'Singapore'}, {'id': None, 'affiliacao': 'UNESP-Universidade Estadual Paulista', 'pais': 'Brazil'})","","","",""
"85089683513","10.1016/j.rsase.2020.100357","2-s2.0-85089683513","S2352938520302056","","The past, present and future of vegetation in the Central Atlantic Forest Corridor, Brazil","","","2020-11-01","1","","Journal","j","","","23529385","","","","Remote Sensing Applications: Society and Environment","","","Elsevier B.V.","({'id': None, 'affiliacao': 'Centro Para el Estudio de Sistemas Marinos (CESIMAR), CONICET-CENPAT', 'pais': 'Argentina'}, {'id': None, 'affiliacao': 'Universidade Federal Rural do Rio de Janeiro', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Estadual de Santa Cruz', 'pais': 'Brazil'})","","","",""
"85094867196","10.3390/rs12213512","2-s2.0-85094867196","","","Discriminating forest successional stages, forest degradation, and land use in central Amazon using ALOS/PALSAR‐2 full‐polarimetric data","","","2020-11-01","0","","Journal","j","","","20724292","","","","Remote Sensing","","","MDPI AGdiversity@mdpi.com","({'id': None, 'affiliacao': 'University of Leicester', 'pais': 'United Kingdom'}, {'id': None, 'affiliacao': 'Universidade do Estado de Santa Catarina', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Federal de Ouro Preto', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Instituto Nacional de Pesquisas Espaciais', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Empresa Brasileira de Pesquisa Agropecuária - Embrapa', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'The University of Manchester', 'pais': 'United Kingdom'})","","","",""
"85092927171","10.3390/rs12193264","2-s2.0-85092927171","","","Adjustments to sif aid the interpretation of drought responses at the caatinga of Northeast Brazil","","","2020-10-01","0","","Journal","j","","","20724292","","","","Remote Sensing","","","MDPI AGdiversity@mdpi.com","({'id': None, 'affiliacao': 'Instituto Nacional de Pesquisas Espaciais', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'FUNCATE-Foundation for Science and Applications of Space Technology', 'pais': 'Brazil'})","","","",""
"85084846617","10.1016/j.rse.2020.111865","2-s2.0-85084846617","S0034425720302352","","Multi-scale integration of satellite remote sensing improves characterization of dry-season green-up in an Amazon tropical evergreen forest","","","2020-09-01","2","","Journal","j","","","00344257","","","","Remote Sensing of Environment","","","Elsevier Inc.usjcs@elsevier.com","({'id': None, 'affiliacao': 'Instituto Nacional de Pesquisas Da Amazonia', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Stony Brook University', 'pais': 'United States'}, {'id': None, 'affiliacao': 'Pacific Northwest National Laboratory', 'pais': 'United States'}, {'id': None, 'affiliacao': 'The University of Hong Kong', 'pais': 'Hong Kong'}, {'id': None, 'affiliacao': 'Princeton University', 'pais': 'United States'}, {'id': None, 'affiliacao': 'University of Illinois at Urbana-Champaign', 'pais': 'United States'})","","","",""
"85085016574","10.1016/j.landusepol.2020.104740","2-s2.0-85085016574","S0264837719308919","","Land-use dynamics in a Brazilian agricultural frontier region, 1985-2017","","","2020-09-01","0","","Journal","j","","","02648377","","","","Land Use Policy","","","Elsevier Ltd","({'id': None, 'affiliacao': 'Universidade Federal de Goias', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Brazilian Institute of Geography and Statistics (IBGE)', 'pais': 'Brazil'})","","","",""
"85090407677","10.1016/j.gloenvcha.2020.102151","2-s2.0-85090407677","S0959378020307342","","The integrated socio-perceptual approach: Using ecological mental maps and future imaginaries to understand land use decisions","","","2020-09-01","0","","Journal","j","","","09593780","","","","Global Environmental Change","","","Elsevier Ltd","({'id': None, 'affiliacao': 'Brown University', 'pais': 'United States'}, {'id': None, 'affiliacao': 'Nature Conservancy', 'pais': 'United States'})","","","",""
"85084184715","10.1016/j.jenvman.2020.110555","2-s2.0-85084184715","S0301479720304886","32383662","Deforestation dynamics in Brazil's Amazonian settlements: Effects of land-tenure concentration","","","2020-08-15","1","","Journal","j","","","10958630 03014797","","","","Journal of Environmental Management","","","Academic Press","({'id': None, 'affiliacao': 'Michigan State University', 'pais': 'United States'}, {'id': None, 'affiliacao': 'Instituto Nacional de Pesquisas Da Amazonia', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Instituto Nacional de Pesquisas Espaciais', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Brazilian Research Network on Climate Change (Rede Clima)', 'pais': 'Brazil'})","","","",""
"85089261739","10.1126/science.369.6504.613","2-s2.0-85089261739","","32764049","Deforestation in the Brazilian Amazon is still rising sharply","","","2020-08-07","2","","Journal","j","","","10959203 00368075","","","","Science","","","American Association for the Advancement of Science","","","","",""
"85090161374","10.1088/1755-1315/540/1/012054","2-s2.0-85090161374","","","Monitoring Groundwater Depletion Due to Drought using Satellite Gravimetry: A Review","","","2020-08-04","0","","Conference Proceeding","p","","","17551315 17551307","","","","IOP Conference Series: Earth and Environmental Science","","","Institute of Physics Publishinghelen.craven@iop.org","({'id': None, 'affiliacao': 'Universiti Teknologi Malaysia', 'pais': 'Malaysia'},)","","","",""
"85090222338","10.3390/f11080829","2-s2.0-85090222338","","","Rapid recent deforestation incursion in a vulnerable indigenous land in the Brazilian Amazon and fire-driven emissions of fine particulate aerosol pollutants","","","2020-08-01","1","","Journal","j","","","19994907","","","","Forests","","","MDPI AGPostfachBaselCH-4005rasetti@mdpi.com","({'id': None, 'affiliacao': 'Michigan State University', 'pais': 'United States'}, {'id': None, 'affiliacao': 'Universidade Federal de Sao Joao del-Rei', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Natural Resources Canada', 'pais': 'Canada'}, {'id': None, 'affiliacao': 'University of Toronto', 'pais': 'Canada'}, {'id': None, 'affiliacao': 'Instituto Nacional de Pesquisas Espaciais', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Empresa Brasileira de Pesquisa Agropecuária - Embrapa', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Federal de Campina Grande', 'pais': 'Brazil'})","","","",""
"85088978023","10.1016/j.rsase.2020.100345","2-s2.0-85088978023","S2352938520300045","","Pushing satellite imagery to new depths: Seascape feature mapping in a tropical shelf","","","2020-08-01","0","","Journal","j","","","23529385","","","","Remote Sensing Applications: Society and Environment","","","Elsevier B.V.","({'id': None, 'affiliacao': 'Universidade Federal de Pernambuco', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Estadual de Santa Cruz', 'pais': 'Brazil'})","","","",""
"85087541918","10.3390/rs12132159","2-s2.0-85087541918","","","Deep semantic segmentation of center pivot irrigation systems from remotely sensed data","","","2020-07-01","1","","Journal","j","","","20724292","","","","Remote Sensing","","","MDPI AGPostfachBaselCH-4005rasetti@mdpi.com","({'id': None, 'affiliacao': 'Universidade de Brasília', 'pais': 'Brazil'},)","","","",""
"85088636324","10.3390/su12145686","2-s2.0-85088636324","","","The configuration of forest cover in Ribeirão Preto: A diagnosis of Brazil's forest code implementation","","","2020-07-01","0","","Journal","j","","","20711050","","","","Sustainability (Switzerland)","","","MDPI AGPostfachBaselCH-4005rasetti@mdpi.com","({'id': None, 'affiliacao': 'UNESP-Universidade Estadual Paulista', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade de Trás-os-Montes e Alto Douro, Centro de Investigação e de Tecnologias Agroambientais e Biológicas', 'pais': 'Portugal'}, {'id': None, 'affiliacao': 'University of Trás-os-Montes and Alto Douro', 'pais': 'Portugal'}, {'id': None, 'affiliacao': ""Regional Coordination of the Prosecutor's Office for Environmental Justice in River Basins Paranaíba and Baixo Rio Grande"", 'pais': 'Brazil'})","","","",""
"85082708682","10.1016/j.foreco.2020.118105","2-s2.0-85082708682","S0378112720300803","","Effects of illegal logging on Amazonian medium and large-sized terrestrial vertebrates","","","2020-06-15","0","","Journal","j","","","03781127","","","","Forest Ecology and Management","","","Elsevier B.V.","({'id': None, 'affiliacao': 'Universitetet for miljø- og biovitenskap', 'pais': 'Norway'}, {'id': None, 'affiliacao': 'Projeto Tamanduá', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Instituto Chico Mendes de Conservação da Biodiversidade', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Instituto Chico Mendes de Conservação da Biodiversidade', 'pais': 'Brazil'})","","","",""
"85081223701","10.1016/j.jenvman.2020.110392","2-s2.0-85081223701","S0301479720303273","32174531","Impact of mining activities on areas of environmental protection in the southwest of the Amazon: A GIS- and remote sensing-based assessment","","","2020-06-01","3","","Journal","j","","","10958630 03014797","","","","Journal of Environmental Management","","","Academic Press","({'id': None, 'affiliacao': 'Universidade Federal de Minas Gerais', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Tecnologica Federal do Parana', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Federal de Goias', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Instituto Agronomico de Campinas', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Federal do Rio de Janeiro', 'pais': 'Brazil'})","","","",""
"85079179665","10.1016/j.ecolind.2020.106151","2-s2.0-85079179665","S1470160X20300881","","A long-term assessment of fire regimes in a Brazilian ecotone between seasonally dry tropical forests and savannah","","","2020-06-01","1","","Journal","j","","","1470160X","","","","Ecological Indicators","","","Elsevier B.V.","({'id': None, 'affiliacao': 'Universidade Federal do Piaui', 'pais': 'Brazil'},)","","","",""
"85086442347","10.3390/rs12111829","2-s2.0-85086442347","","","Monitoring vegetation change in the presence of high cloud cover with sentinel-2 in a lowland tropical forest region in Brazil","","","2020-06-01","1","","Journal","j","","","20724292","","","","Remote Sensing","","","MDPI AGPostfachBaselCH-4005rasetti@mdpi.com","({'id': None, 'affiliacao': 'Eidgenössische Forschungsanstalt für Wald, Schnee und Landschaft WSL', 'pais': 'Switzerland'}, {'id': None, 'affiliacao': 'Université de Genève', 'pais': 'Switzerland'}, {'id': None, 'affiliacao': 'Conservatoire et Jardin Botaniques de Genève', 'pais': 'Switzerland'})","","","",""
"85077895536","10.1080/1747423X.2019.1709223","2-s2.0-85077895536","","","A Bayesian network approach to modelling land-use decisions under environmental policy incentives in the Brazilian Amazon","","","2020-05-03","2","","Journal","j","","","17474248 1747423X","","","","Journal of Land Use Science","","","Taylor and Francis Ltd.michael.wagreich@univie.ac.at","({'id': None, 'affiliacao': 'SCION', 'pais': 'New Zealand'}, {'id': None, 'affiliacao': 'Instituto Nacional de Pesquisas Espaciais', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universität Bonn', 'pais': 'Germany'}, {'id': None, 'affiliacao': 'University of Bonn Center for Development Research', 'pais': 'Germany'})","","","",""
"85085261963","10.3390/RS12091413","2-s2.0-85085261963","","","Integrated Landscape change analysis of protected areas and their surrounding landscapes: Application in the Brazilian cerrado","","","2020-05-01","1","","Journal","j","","","20724292","","","","Remote Sensing","","","MDPI AGPostfachBaselCH-4005rasetti@mdpi.com","({'id': None, 'affiliacao': 'Rhodes University', 'pais': 'South Africa'}, {'id': None, 'affiliacao': 'James Cook University', 'pais': 'Australia'}, {'id': None, 'affiliacao': ""Universite d'Angers"", 'pais': 'France'}, {'id': None, 'affiliacao': 'Universidade Federal de Mato Grosso do Sul', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'LTSER France', 'pais': 'Zimbabwe'})","","","",""
"85081349258","10.1007/s10661-020-8192-7","2-s2.0-85081349258","","32146533","Anthropogenic and climatic influences in the swamp environment of the Pandeiros River basin, Minas Gerais-Brazil","","","2020-04-01","1","","Journal","j","","","15732959 01676369","","","","Environmental Monitoring and Assessment","","","Springer","({'id': None, 'affiliacao': 'Universidade Federal Rural do Rio de Janeiro', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Federal de Mato Grosso do Sul', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Federal Institute of Northern Minas Gerais', 'pais': 'Brazil'})","","","",""
"85091628553","10.1109/LAGIRS48042.2020.9165593","2-s2.0-85091628553","","","Wetland Mapping with Multitemporal Sentinel Radar Remote Sensing in the Southeast Region of Brazil","","","2020-03-01","0","","Conference Proceeding","p","","","","","","","2020 IEEE Latin American GRSS and ISPRS Remote Sensing Conference, LAGIRS 2020 - Proceedings","","","Institute of Electrical and Electronics Engineers Inc.","({'id': None, 'affiliacao': 'Federal University of Espirito Santo', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidad Nacional Mayor de San Marcos', 'pais': 'Peru'})","","","",""
"85091667084","10.1109/LAGIRS48042.2020.9165598","2-s2.0-85091667084","","","Vegetation Index Based in Unmanned Aerial Vehicle (Uav) to Improve the Management of Invasive Plants in Protected Areas, Southern Brazil.","","","2020-03-01","0","","Conference Proceeding","p","","","","","","","2020 IEEE Latin American GRSS and ISPRS Remote Sensing Conference, LAGIRS 2020 - Proceedings","","","Institute of Electrical and Electronics Engineers Inc.","({'id': None, 'affiliacao': 'Universidade Federal de Santa Maria', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'State Secretary of environment and infrastructure', 'pais': 'Brazil'})","","","",""
"85091629971","10.1109/LAGIRS48042.2020.9165591","2-s2.0-85091629971","","","The Urban Heat Island of Porto Alegre, Rs, Southern Brazil: An Analysis between 1985 and 2019 through the Radiative Transfer in the Infrared Thermal.","","","2020-03-01","0","","Conference Proceeding","p","","","","","","","2020 IEEE Latin American GRSS and ISPRS Remote Sensing Conference, LAGIRS 2020 - Proceedings","","","Institute of Electrical and Electronics Engineers Inc.","({'id': None, 'affiliacao': 'Universidade do Vale do Rio dos Sinos', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Federal do Rio Grande do Sul', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Secretaria da Saude e do Meio Ambiente', 'pais': 'Brazil'})","","","",""
"85091673965","10.1109/LAGIRS48042.2020.9165580","2-s2.0-85091673965","","","Deforestation Polygon Assessment Tool: Providing Comprehensive Information on Deforestation in the Brazilian Cerrado Biome","","","2020-03-01","0","","Conference Proceeding","p","","","","","","","2020 IEEE Latin American GRSS and ISPRS Remote Sensing Conference, LAGIRS 2020 - Proceedings","","","Institute of Electrical and Electronics Engineers Inc.","({'id': None, 'affiliacao': 'Universidade Federal de Goias', 'pais': 'Brazil'},)","","","",""
"85091640782","10.1109/LAGIRS48042.2020.9165656","2-s2.0-85091640782","","","Classification System Drives Disagreement among Brazilian Vegetation Maps at a Sample Area of the Semiarid Caatinga","","","2020-03-01","0","","Conference Proceeding","p","","","","","","","2020 IEEE Latin American GRSS and ISPRS Remote Sensing Conference, LAGIRS 2020 - Proceedings","","","Institute of Electrical and Electronics Engineers Inc.","({'id': None, 'affiliacao': 'Istanbul Teknik Üniversitesi', 'pais': 'Turkey'}, {'id': None, 'affiliacao': 'Instituto Nacional de Pesquisas Espaciais', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'FUNCATE', 'pais': 'Brazil'})","","","",""
"85091634213","10.1109/LAGIRS48042.2020.9165590","2-s2.0-85091634213","","","Cellular Automata Model - Landscape Dynamics Simulation Tool in the Process of Change in Land Use and Cover in the City of GaÚCha Do Norte - Mt","","","2020-03-01","0","","Conference Proceeding","p","","","","","","","2020 IEEE Latin American GRSS and ISPRS Remote Sensing Conference, LAGIRS 2020 - Proceedings","","","Institute of Electrical and Electronics Engineers Inc.","({'id': None, 'affiliacao': 'Institute of Geosciences - IGC / UFMG', 'pais': 'Brazil'},)","","","",""
"85091662973","10.1109/LAGIRS48042.2020.9165625","2-s2.0-85091662973","","","Semantic Segmentation of Endangered Tree Species in Brazilian Savanna Using Deeplabv3+ Variants","","","2020-03-01","0","","Conference Proceeding","p","","","","","","","2020 IEEE Latin American GRSS and ISPRS Remote Sensing Conference, LAGIRS 2020 - Proceedings","","","Institute of Electrical and Electronics Engineers Inc.","({'id': None, 'affiliacao': 'Pontificia Universidade Catolica do Rio de Janeiro', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade do Estado de Santa Catarina', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Federal de Mato Grosso do Sul', 'pais': 'Brazil'})","","","",""
"85091642071","10.1109/LAGIRS48042.2020.9165679","2-s2.0-85091642071","","","Cerrado Knowledge Platform: A Social and Environmental Management Tool to Conserve Brazilian Savannas","","","2020-03-01","0","","Conference Proceeding","p","","","","","","","2020 IEEE Latin American GRSS and ISPRS Remote Sensing Conference, LAGIRS 2020 - Proceedings","","","Institute of Electrical and Electronics Engineers Inc.","({'id': None, 'affiliacao': 'Universidade Federal de Goias', 'pais': 'Brazil'},)","","","",""
"85077617430","10.1007/s10531-019-01928-z","2-s2.0-85077617430","","","Assessing coastal artificial light and potential exposure of wildlife at a national scale: the case of marine turtles in Brazil","","","2020-03-01","1","","Journal","j","","","15729710 09603115","","","","Biodiversity and Conservation","","","Springereditorial@springerplus.com","({'id': None, 'affiliacao': 'University of Exeter', 'pais': 'United Kingdom'}, {'id': None, 'affiliacao': 'Universidade de Sao Paulo - USP', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Fundação Pró-Tamar', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Fundação Pró Tamar', 'pais': 'Brazil'})","","","",""
"85076591580","10.1016/j.scitotenv.2019.135871","2-s2.0-85076591580","S0048969719358668","31836212","The value of hydrologic information for watershed management programs: The case of Camboriú, Brazil","","","2020-02-25","5","","Journal","j","","","18791026 00489697","","","","Science of the Total Environment","","","Elsevier B.V.","({'id': None, 'affiliacao': 'Nature Conservancy', 'pais': 'United States'}, {'id': None, 'affiliacao': 'EPAGRI - Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina S.A.', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'University of Minnesota Twin Cities', 'pais': 'United States'}, {'id': None, 'affiliacao': 'University of North Texas', 'pais': 'United States'}, {'id': None, 'affiliacao': 'Institute of Ecosystem Studies', 'pais': 'United States'}, {'id': None, 'affiliacao': 'University of Hawaiʻi at Mānoa', 'pais': 'United States'}, {'id': None, 'affiliacao': 'Stanford University', 'pais': 'United States'})","","","",""
"85080887278","10.3390/rs12040611","2-s2.0-85080887278","","","Land cover changes in open-cast mining complexes based on high-resolution remote sensing data","","","2020-02-01","2","","Journal","j","","","20724292","","","","Remote Sensing","","","MDPI AGPostfachBaselCH-4005rasetti@mdpi.com","({'id': None, 'affiliacao': 'Vale S.A.', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Federal do Para', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Instituto Tecnológico Vale', 'pais': 'Brazil'})","","","",""
"85078127913","10.1007/s10661-020-8093-9","2-s2.0-85078127913","","31980935","Mapping LULC types in the Cerrado-Atlantic Forest ecotone region using a Landsat time series and object-based image approach: A case study of the Prata River Basin, Mato Grosso do Sul, Brazil","","","2020-02-01","2","","Journal","j","","","15732959 01676369","","","","Environmental Monitoring and Assessment","","","Springer","({'id': None, 'affiliacao': 'Universidade Federal de Mato Grosso do Sul', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Federal da Paraiba', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Estadual de Mato Grosso do Sul', 'pais': 'Brazil'})","","","",""
"85088945574","10.5216/ag.v14i2.57295","2-s2.0-85088945574","","","State of natural vegetation conservation across the landscape temporal changes in paraguai/jauquara hydrographic basin, in Mato Grosso – Brazil Estado de conservação da vegetação natural frente às mudanças temporais da paisagem na bacia hidrográfica paraguai/jauquara, Mato Grosso-Brasil Estado de conservación de la vegetación natural frente a los cambios temporales del paisaje en la cuenca hidrográfica paraguay/jauquara, Mato Grosso – Brasil","","","2020-01-01","0","","Journal","j","","","19821956","","","","Atelie Geografico","","","Universidade Federal de Goiassociedadeecultura.revista@gmail.com","({'id': None, 'affiliacao': 'Universidade do Estado de Mato Grosso', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade do Estado de Mato Grosso', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'LECON', 'pais': 'Brazil'})","","","",""
"85074615318","10.1007/s10531-019-01867-9","2-s2.0-85074615318","","","Deforestation in protect areas in the Amazon: a threat to biodiversity","","","2020-01-01","4","","Journal","j","","","15729710 09603115","","","","Biodiversity and Conservation","","","Springereditorial@springerplus.com","({'id': None, 'affiliacao': 'Universidade Federal Rural da Amazonia', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade do Estado do Para', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Museu Paraense Emilio Goeldi', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Federal do Para', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Universidade Federal do Rio de Janeiro', 'pais': 'Brazil'}, {'id': None, 'affiliacao': 'Instituto Federal de Educação', 'pais': 'Brazil'})","","","",""
